jobtitle,location,country,function,days_open_in_report_date_range,total_amount_of_views,unique_visits,unique_application_clicks,cost_per_click,cost_per_application,application_through_rate
Accountmanager,"Delft, Zuid-Holland, Nederland",Nederland,Sales,101,1502,1281,41,0.2808165709580486,8.773805546274641,0.0320062451209992
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,1475,1202,126,0.0918560390217217,0.8762774516199174,0.1048252911813644
Trainee Finance & Control,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Consulting/Finance,31,1416,1195,83,0.0923941078695477,1.330252516916983,0.0694560669456067
Process/ Manufacturing Engineer,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering/Information Technology,30,1413,1164,92,0.0917949442169185,1.1614055985705778,0.0790378006872852
Junior Java Engineer,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering/Information Technology,31,1409,1068,272,0.1033810476630239,0.4059226430298147,0.2546816479400749
Project Manager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Information Technology/Project Management,31,1406,1137,143,0.0971072637679064,0.772104607721046,0.1257695690413368
Maintenance Engineer,"Meppel, Drenthe, Nederland",Nederland,Engineering/Manufacturing,31,1360,1107,115,0.0997388969323483,0.9600952948183444,0.1038843721770551
Mechanical Engineer,"Hengelo, Overijssel, Nederland",Nederland,Design/Engineering,10,1340,797,224,0.044688128426806,0.1590019569471624,0.2810539523212045
Junior TM Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst,31,1332,1090,113,0.1012944577101922,0.9770881318947752,0.1036697247706422
Maintenance Engineer,"Groningen, Nederland",Nederland,Engineering/Manufacturing,31,1326,791,225,0.1395840188421107,0.4907153729071537,0.2844500632111251
Business Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,31,1290,1100,91,0.1003735990037359,1.213307240704501,0.0827272727272727
Structural Engineer – Design and Construction,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,54,1287,890,184,0.2160997383407726,1.0452650387135198,0.2067415730337078
Junior Financial Controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,50,1274,1107,53,0.1608691886005618,3.3600413543551304,0.047877145438121
Financieel controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,31,1257,1059,63,0.1042596401360808,1.7525549032398349,0.0594900849858356
Maintenance Engineer,"Marum, Groningen, Nederland",Nederland,Engineering/Manufacturing,31,1247,720,207,0.1533485540334855,0.5333862748990802,0.2875
Electrical Engineer,"Den Haag, Zuid-Holland, Nederland",Nederland,Engineering,31,1234,885,145,0.1247581456543611,0.7614548889938593,0.1638418079096045
Bid Manager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales/Writing/Editing,82,1202,979,86,0.2983195041067905,3.395985982797069,0.0878447395301327
Procurement Manager,"Amersfoort, Utrecht, Nederland",Nederland,Distribution/Manufacturing/Supply Chain,17,1199,892,111,0.0678788623379814,0.5454769838331482,0.124439461883408
NOC engineer,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,53,1197,1007,86,0.1874549387166546,2.1949665498566424,0.0854021847070506
Embedded Software Engineer,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering/Information Technology,31,1193,883,160,0.125040723560713,0.690068493150685,0.1812004530011325
Recruiter,"Groningen, Nederland",Nederland,Engineering/Human Resources/Sales,24,1191,984,53,0.0868693618443033,1.6128198500904627,0.0538617886178861
Senior KYC/CDD analist HBO amsterdam,"Amsterdam-Zuid, Noord-Holland, Nederland",Nederland,Finance/Sales,53,1190,1119,28,0.1686926928397419,6.741682974559687,0.0250223413762287
Trainee Finance & Control,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Consulting/Finance,31,1176,984,82,0.1122062590488918,1.3464751085867024,0.0833333333333333
Junior Java Engineer,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,8,1167,753,255,0.0378395095417417,0.1117378458232608,0.3386454183266932
Learning & Development Specialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,15,1149,991,45,0.0539098461495929,1.1872146118721465,0.0454086781029263
Junior TM Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst/Finance,31,1140,954,65,0.1157347577611211,1.6986301369863015,0.0681341719077568
Maintenance Engineer,"Groningen, Nederland",Nederland,Engineering/Manufacturing,25,1109,863,114,0.1031762408927125,0.7810622446527277,0.1320973348783314
Junior Business Controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,54,1107,999,47,0.1925212884116993,4.092101428155057,0.047047047047047
Legal Counsel,"Utrecht, Utrecht, Nederland",Nederland,Consulting/Legal,27,1105,968,31,0.0993433714479791,3.102076889085285,0.0320247933884297
Credit Risk Analist (NL),"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,54,1104,965,43,0.1993044218894172,4.472762026122969,0.0445595854922279
Junior TM Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst/Finance,31,1098,934,63,0.1182130180986184,1.7525549032398349,0.0674518201284796
Agile Coach,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,53,1078,985,28,0.1916417495306307,6.741682974559687,0.0284263959390862
Maintenance Engineer,"Assen, Drenthe, Nederland",Nederland,Engineering/Manufacturing,25,1074,904,87,0.0984967874893926,1.0234608723035743,0.0962389380530973
Marketing & Sales Support Specialist,"Eindhoven, Noord-Brabant, Nederland",Nederland,Sales,7,1062,759,133,0.032847835111087,0.1874549387166546,0.1752305665349143
Legal Counsel,"Utrecht, Nederland",Nederland,Legal,27,1054,959,37,0.1002756867170425,2.5990373935579414,0.0385818561001042
Senior KYC/CDD analist WO Amsterdam,"Amsterdam-Zuid, Noord-Holland, Nederland",Nederland,Finance/Sales,53,1040,949,33,0.1989116156877463,5.720215857202159,0.0347734457323498
Offshore Process Operator,"Amsterdam, Noord-Holland, Nederland",Nederland,Management/Manufacturing,31,1023,789,101,0.1399378439849297,1.0931778109317782,0.1280101394169835
Bid Manager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales/Writing/Editing,53,1008,794,65,0.2377419688761602,2.904109589041096,0.0818639798488665
Project/Programmamanager,"Amsterdam, Noord-Holland, Nederland",Nederland,Business Development,25,1004,861,45,0.103415906957504,1.97869101978691,0.0522648083623693
Maintenance Engineer,"Lutjewinkel, Noord-Holland, Nederland",Nederland,Engineering/Manufacturing,25,1004,927,38,0.0960529621255781,2.343186733958183,0.040992448759439
Corporate Recruiter Amsterdam,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,35,992,839,62,0.1485787058957989,2.010605391073796,0.0738974970202622
Data-analist,Groningen en omgeving,Nederland,Information Technology,31,983,773,106,0.1428343582200641,1.0416128198500905,0.1371280724450194
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,978,853,40,0.1294384043424497,2.76027397260274,0.0468933177022274
Data Engineer,"Den Haag, Zuid-Holland, Nederland",Nederland,Information Technology,31,977,754,148,0.146433632498819,0.746019992595335,0.1962864721485411
Accountmanager,"Groningen, Groningen, Nederland",Nederland,Consulting/Engineering/Sales,31,948,807,22,0.1368165537845224,5.0186799501868,0.0272614622057001
Scrum Master,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,37,929,772,66,0.1707005465256583,1.9966791199667917,0.0854922279792746
Procesinnovator,"Den Haag, Zuid-Holland, Nederland",Nederland,Distribution/Strategy/Planning/Supply Chain,31,913,788,18,0.1401154300813573,6.133942161339422,0.0228426395939086
Learning & Development Specialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,14,911,801,46,0.0622509534314983,1.0839785586658726,0.0574282147315855
Mechanical Enigineer,"Enschede, Overijssel, Nederland",Nederland,Engineering,31,892,736,48,0.1500148898153663,2.300228310502283,0.0652173913043478
Rotating Engineer,"Zuid-Holland, Nederland",Nederland,Engineering,31,864,701,39,0.157504934242667,2.8310502283105023,0.0556348074179743
Process/Manufacturing Engineer,"Noord-Brabant, Nederland",Nederland,Engineering,18,848,700,60,0.0915851272015655,1.0684931506849316,0.0857142857142857
Junior AML-Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Business Development/Sales,39,846,757,36,0.183492879245761,3.858447488584475,0.047556142668428
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,23,812,654,60,0.125256587491098,1.365296803652968,0.091743119266055
Financieel Risk & Data Traineeship,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,50,809,684,31,0.2603540815509092,5.744586831639417,0.0453216374269005
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,801,721,35,0.153135865331636,3.1545988258317026,0.0485436893203883
Business Analyst,"Zuid-Holland, Nederland",Nederland,Consulting/Information Technology/Public Relations,24,799,663,48,0.128928283642224,1.7808219178082192,0.0723981900452488
Maintenance Engineer,"Workum, Friesland, Nederland",Nederland,Engineering/Manufacturing,31,798,690,53,0.160015882469724,2.083225639700181,0.0768115942028985
Structural Engineer,"Bunnik, Utrecht, Nederland",Nederland,Engineering/Information Technology,31,798,578,106,0.1910224202493245,1.0416128198500905,0.1833910034602076
Pipeline Engineer,"Groningen, Nederland",Nederland,Project Management,31,791,550,106,0.2007471980074719,1.0416128198500905,0.1927272727272727
Medior analist KYC Rotterdam,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst/Finance,31,791,690,30,0.160015882469724,3.680365296803653,0.0434782608695652
Senior Insights Manager,"Amsterdam, Noord-Holland, Nederland",Nederland,Product Management/Project Management/Research,2,781,539,61,0.0132157470709329,0.1167752077251291,0.1131725417439703
Medior analist KYC Rotterdam,"Rotterdam, Zuid-Holland, Nederland",Nederland,Analyst/Finance,29,776,674,29,0.1532458030161375,3.5616438356164384,0.043026706231454
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,766,668,32,0.1652858666229185,3.4503424657534247,0.0479041916167664
Structural Engineer,"Den Haag, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,763,568,93,0.1943854910283619,1.187214611872146,0.1637323943661972
Business Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst/Business Development/Information Technology,29,762,691,31,0.1494756457784033,3.331860362350862,0.044862518089725
Junior HR Business Partner,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,15,760,662,34,0.0807018995985597,1.5713134568896052,0.0513595166163142
Project Engineer,"Almere, Flevoland, Nederland",Nederland,Business Development/Engineering/Project Management,31,759,644,52,0.1714455883604186,2.1232876712328768,0.0807453416149068
Maintenance Engineer,"Hengelo, Overijssel, Nederland",Nederland,Engineering,31,753,598,54,0.1846337105419893,2.0446473871131405,0.0903010033444816
Maintenance Engineer,"Leeuwarden, Friesland, Nederland",Nederland,Management/Manufacturing,53,745,621,57,0.3039728233295833,3.311703917327565,0.0917874396135265
Maintenance Engineer,"Beilen, Drenthe, Nederland",Nederland,Engineering/Manufacturing,31,745,565,76,0.195417626378955,1.4527757750540735,0.1345132743362831
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,734,646,28,0.1709147970651851,3.943248532289629,0.0433436532507739
Teammanager Engineering,"Utrecht, Utrecht, Nederland",Nederland,Engineering/Management,31,731,635,22,0.1738755258332434,5.0186799501868,0.0346456692913385
Electrical Engineer,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering/Information Technology,54,719,564,60,0.3410084523462547,3.2054794520547945,0.1063829787234042
Recruitment Consultant,"Delft, Zuid-Holland, Nederland",Nederland,Consulting/Human Resources/Sales,31,718,566,70,0.1950723655549639,1.5772994129158513,0.1236749116607773
Firmware Engineer,"Enschede, Overijssel, Nederland",Nederland,Engineering,31,717,605,40,0.1824974527340654,2.76027397260274,0.0661157024793388
Learning & Development Specialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,8,717,589,27,0.0483754680559108,1.0553018772196854,0.0458404074702886
Junior HR Business Partner,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,14,711,602,30,0.0828289264096846,1.6621004566210047,0.0498338870431893
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,710,626,29,0.1763753337126351,3.807274444969296,0.0463258785942492
Maintenance Engineer,"Leeuwarden, Friesland, Nederland",Nederland,Engineering/Manufacturing,25,692,582,56,0.1529915736948641,1.5900195694716242,0.0962199312714776
Project Manager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Information Technology/Project Management,18,689,544,81,0.1178485092667203,0.791476407914764,0.1488970588235294
Business Analist,"Den Haag, Zuid-Holland, Nederland",Nederland,Analyst/Business Development/Information Technology,31,688,622,24,0.1775095802316874,4.600456621004566,0.0385852090032154
Junior Financial Controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,20,680,579,29,0.1230274209193933,2.456306093528578,0.0500863557858376
Senior Business Controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,45,680,602,14,0.2662358348882719,11.448140900195694,0.0232558139534883
Electrical Engineer,"Hengelo, Overijssel, Nederland",Nederland,Design/Engineering,10,661,409,104,0.08708175637204,0.3424657534246575,0.254278728606357
Maintenance Engineer,"Workum, Friesland, Nederland",Nederland,Engineering/Manufacturing,25,660,587,39,0.1516884086719096,2.2831050228310503,0.0664395229982964
Transactie Monitoring Analist,"Utrecht, Utrecht, Nederland",Nederland,Finance/Sales,53,659,554,34,0.340734879580634,5.551974214343272,0.0613718411552346
Electrical Engineer,"Den Haag, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,652,496,86,0.2226027397260274,1.2838483593501115,0.1733870967741935
Learning & Development Specialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,11,652,559,24,0.0700860146543485,1.632420091324201,0.0429338103756708
Finance Talenten Programma,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,54,651,558,28,0.344675209898365,6.868884540117416,0.050179211469534
Product Owner,"Amsterdam, Noord-Holland, Nederland",Nederland,Marketing/Product Management,28,643,564,25,0.1768191975128728,3.989041095890411,0.0443262411347517
Traineeship Maintenance Engineer,"Utrecht, Utrecht, Nederland",Nederland,Management/Manufacturing,54,639,513,52,0.3749098774333093,3.698630136986301,0.1013645224171539
Servicemanager IT,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology/Management/Other,22,635,518,29,0.1512667266091923,2.701936702881436,0.0559845559845559
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,633,551,12,0.2003828655246998,9.200913242009133,0.0217785843920145
Financieel Data Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,37,631,557,56,0.2365903445562086,2.353228962818004,0.1005385996409335
Reliability Engineer,"Meppel, Drenthe, Nederland",Nederland,Engineering/Information Technology,53,627,560,29,0.3370841487279843,6.509211147850732,0.0517857142857142
Teammanager Engineering,"'s-Hertogenbosch, Noord-Brabant, Nederland",Nederland,Engineering/Management,31,624,528,23,0.2091116645911166,4.800476474091721,0.043560606060606
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,624,566,16,0.1950723655549639,6.9006849315068495,0.0282685512367491
Medior analist KYC Rotterdam,"Rotterdam, Zuid-Holland, Nederland",Nederland,Analyst/Finance,31,624,556,26,0.1985808613383266,4.2465753424657535,0.0467625899280575
Pipeline Engineer,"Groningen, Nederland",Nederland,Project Management,31,621,406,91,0.271948174640664,1.213307240704501,0.2241379310344827
Trainee Finance & Control,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Consulting/Finance,10,616,506,40,0.0703882180951865,0.8904109589041095,0.0790513833992094
Medior analist KYC Rotterdam,"Rotterdam, Zuid-Holland, Nederland",Nederland,Analyst/Finance,31,616,515,44,0.2143902114642904,2.5093399750934,0.0854368932038835
Product Owner,"Amsterdam, Noord-Holland, Nederland",Nederland,Marketing/Product Management,22,615,557,30,0.1406753400063943,2.611872146118721,0.0538599640933572
Mechanical Enigineer,"Enschede, Overijssel, Nederland",Nederland,Engineering,21,611,510,41,0.1466559226430298,1.824256598730371,0.0803921568627451
Bid Manager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales/Writing/Editing,31,608,493,48,0.2239573202923115,2.300228310502283,0.0973630831643002
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,21,608,553,21,0.1352522975550546,3.561643835616439,0.0379746835443038
Layout Engineer,"Venlo, Limburg, Nederland",Nederland,Engineering,31,607,521,37,0.2119212263034733,2.98407997038134,0.0710172744721689
HSE Manager,"Bedum, Groningen, Nederland",Nederland,Manufacturing,31,600,497,43,0.2221548468895565,2.567696718700223,0.0865191146881287
Pipeline Engineer,"Groningen, Nederland",Nederland,Project Management,31,599,384,85,0.2875285388127854,1.298952457695407,0.2213541666666666
HSE Manager,"Bedum, Groningen, Nederland",Nederland,Manufacturing,31,594,475,22,0.2324441240086517,5.0186799501868,0.0463157894736842
Product Owner,"Amsterdam, Noord-Holland, Nederland",Nederland,Marketing/Product Management,7,594,515,46,0.0484106929112914,0.5419892793329363,0.0893203883495145
KYC/CDD Analist Amsterdam,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,586,495,33,0.2230524422305244,3.3457866334578665,0.0666666666666666
Medior CDD Analist,"Utrecht, Utrecht, Nederland",Nederland,Analyst,31,583,529,10,0.2087163684387705,11.04109589041096,0.0189035916824196
DevOps Engineer,"Amstelveen, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,31,578,480,63,0.2300228310502283,1.7525549032398349,0.13125
Senior Communicatieadviseur,"Arnhem, Gelderland, Nederland",Nederland,Marketing/Public Relations,15,572,476,17,0.1122366754921146,3.1426269137792104,0.0357142857142857
Junior IT Support Engineer,"Utrecht, Utrecht, Nederland",Nederland,Information Technology,31,571,486,44,0.2271830430125711,2.5093399750934,0.0905349794238683
Information Security Officer,"Utrecht, Utrecht, Nederland",Nederland,Information Technology,31,566,434,18,0.2544031311154598,6.133942161339422,0.0414746543778801
KYC/CDD Analist Amsterdam,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,562,477,29,0.2314695155222423,3.807274444969296,0.060796645702306
Automation Engineer,"Lochem, Gelderland, Nederland",Nederland,Other,27,558,461,34,0.2085995305024812,2.828364222401289,0.0737527114967462
Projectcoördinator,"Groningen, Groningen, Nederland",Nederland,Project Management,10,557,433,54,0.0822550539403334,0.6595636732623034,0.1247113163972286
Senior Project Manager Offshore Wind,"Utrecht, Utrecht, Nederland",Nederland,Information Technology/Project Management,58,557,491,12,0.4207237117428787,17.21461187214612,0.0244399185336048
Projectmanager,"Utrecht, Utrecht, Nederland",Nederland,Project Management,31,556,482,18,0.229068379469107,6.133942161339422,0.0373443983402489
KYC/CDD Analist Amsterdam,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,553,463,37,0.2384685937453771,2.98407997038134,0.079913606911447
Senior Energieconsultant,"Apeldoorn, Gelderland, Nederland",Nederland,Consulting/Engineering/Project Management,31,553,450,22,0.2453576864535768,5.0186799501868,0.0488888888888888
Senior Energieconsultant,"Naarden, Noord-Holland, Nederland",Nederland,Consulting/Engineering/Project Management,30,547,456,17,0.2343186733958183,6.285253827558421,0.0372807017543859
Junior IT Support,"Delft, Zuid-Holland, Nederland",Nederland,Information Technology,15,546,434,59,0.123098289249416,0.905502670071976,0.1359447004608295
Junior Privacy Jurist,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,45,545,458,25,0.3499431716217024,6.410958904109589,0.0545851528384279
Oracle Database Administrator,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,23,537,436,58,0.1878848812366469,1.4123760037789326,0.1330275229357798
Information Security Officer ( ISO),"Den Haag, Zuid-Holland, Nederland",Nederland,Information Technology/Project Management/Strategy/Planning,31,535,431,24,0.2561739185710199,4.600456621004566,0.0556844547563805
Structural Engineer – Design and Construction,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,31,533,383,80,0.2882792660681713,1.38013698630137,0.2088772845953002
Project Engineer HVAC,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering,19,527,407,45,0.1662683854464676,1.5038051750380517,0.1105651105651105
Cloud Architect,"Den Haag, Zuid-Holland, Nederland",Nederland,Other,31,522,460,28,0.240023823704586,3.943248532289629,0.0608695652173913
Medior KYC/CDD analist,"Amsterdam-Zuid, Noord-Holland, Nederland",Nederland,Finance/Sales,31,519,448,21,0.2464530332681017,5.257664709719505,0.046875
DevOps Engineer,"Delft, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,508,374,71,0.295216467658047,1.5550839282268956,0.1898395721925133
IT Supportmedewerker,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,31,506,439,24,0.2515056011483134,4.600456621004566,0.0546697038724373
Maintenance Engineer,"Groningen, Nederland",Nederland,Engineering,31,504,378,54,0.2920924838733058,2.0446473871131405,0.1428571428571428
Project Manager Ondersteuner,"Den Haag, Zuid-Holland, Nederland",Nederland,Administrative/Finance/Management,13,503,417,11,0.1110344601031503,4.209215442092154,0.026378896882494
Junior ICT Support Medewerker,"Arnhem, Gelderland, Nederland",Nederland,Information Technology,53,496,442,24,0.4270749395648671,7.865296803652968,0.0542986425339366
Scrum Master,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,28,495,412,42,0.242053464556457,2.3744292237442925,0.1019417475728155
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,494,442,15,0.249798549556809,7.360730593607306,0.0339366515837104
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,489,438,17,0.2520798148495652,6.494762288477035,0.0388127853881278
Maintenance Engineer,"Leeuwarden, Friesland, Nederland",Nederland,Production,31,485,373,26,0.2960079327187924,4.2465753424657535,0.0697050938337801
Multi Client Pool ICT Servicedeskmedewerker,"De Meern, Utrecht, Nederland",Nederland,Other,53,482,441,16,0.4280433634641071,11.797945205479452,0.0362811791383219
Junior TM Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst,9,482,400,26,0.0801369863013698,1.2328767123287672,0.065
Maintenance Trainee,"Groningen, Nederland",Nederland,Engineering/Product Management/Production,31,482,337,52,0.327628958172432,2.1232876712328768,0.1543026706231454
IT Support Engineer,"Amsterdam Zuidoost, Noord-Holland, Nederland",Nederland,Information Technology,28,479,406,42,0.2456306093528578,2.3744292237442925,0.1034482758620689
Junior Project Engineer Duurzame Energie,"Delft, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,479,407,25,0.2712799973073945,4.416438356164384,0.0614250614250614
Maintenance Manager,"Veenendaal, Utrecht, Nederland",Nederland,Manufacturing,31,476,384,51,0.2875285388127854,2.164920762825678,0.1328125
Maintenance Engineer,"Groningen, Nederland",Nederland,Engineering/Manufacturing,31,475,306,67,0.360820127137613,1.6479247597628297,0.218954248366013
Junior PLC Engineer - Maritiem / Industrie,"Nijmegen, Gelderland, Nederland",Nederland,Engineering,28,475,381,37,0.2617481034048826,2.6952980377637914,0.0971128608923884
Pipeline Engineer,"Groningen, Nederland",Nederland,Project Management,25,474,368,53,0.2419594997022036,1.6800206771775652,0.1440217391304347
Cyber Security Consultant,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,25,474,423,37,0.2104990446581819,2.4065161051462423,0.0874704491725768
KYC/CDD Analist Amsterdam,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,470,399,23,0.2767191952483949,4.800476474091721,0.0576441102756892
Junior IT Servicedeskmedewerker,"Utrecht, Utrecht, Nederland",Nederland,Information Technology,26,465,369,38,0.2509559342168764,2.4369142033165105,0.1029810298102981
