Company that is looking,State start date,State end date,Original offer date,Jobtitle,Standerdised title,Location,Country,Function,Days open in report date range,Total amount of views,Total number of application clicks,Unique visits,Unieke sollicitatieklikken,Cost per application,Cost per click,Application through rate
Brunel,2025-07-09,2025-08-08,2025-07-09,Trainee Finance & Control,Financieel controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Consulting/Finance,31,1416,97,1195,83,1.330252516916983,0.09239410786954777,0.0694560669456067
Brunel,2025-03-28,2025-04-26,2025-03-28,Process/ Manufacturing Engineer,Fabricage-ingenieur,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering/Information Technology,30,1413,103,1164,92,1.1614055985705778,0.09179494421691851,0.07903780068728522
Brunel,2025-03-06,2025-04-05,2025-03-06,Junior Java Engineer,,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering/Information Technology,31,1409,314,1068,272,0.4059226430298147,0.10338104766302396,0.2546816479400749
Brunel,2025-02-13,2025-03-15,2025-02-13,Project Manager,Projectmanager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Information Technology/Project Management,31,1406,172,1137,143,0.772104607721046,0.09710726376790642,0.12576956904133685
Brunel,2024-12-20,2025-01-19,2024-12-20,Maintenance Engineer,Onderhoudsingenieur,"Meppel, Drenthe, Nederland",Nederland,Engineering/Manufacturing,31,1360,116,1107,115,0.9600952948183443,0.09973889693234832,0.10388437217705511
Brunel,2025-06-18,2025-06-27,2025-06-18,Mechanical Engineer,Werktuigbouwkundige,"Hengelo, Overijssel, Nederland",Nederland,Design/Engineering,10,1340,231,797,224,0.1590019569471624,0.044688128426806,0.2810539523212045
Brunel,2025-08-14,2025-09-13,2025-08-14,Junior TM Analist,Junior analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst,31,1332,123,1090,113,0.9770881318947752,0.10129445771019228,0.10366972477064221
Brunel,2024-12-20,2025-01-19,2024-12-20,Maintenance Engineer,Onderhoudsingenieur,"Groningen, Nederland",Nederland,Engineering/Manufacturing,31,1326,227,791,225,0.4907153729071537,0.13958401884211075,0.28445006321112515
Brunel,2025-06-13,2025-07-13,2025-06-13,Business Analist,Bedrijfsanalist,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,31,1290,106,1100,91,1.213307240704501,0.10037359900373599,0.08272727272727273
Brunel,2025-02-13,2025-04-07,2025-02-13,Structural Engineer – Design and Construction,Bouwkundig ingenieur,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,54,1287,226,890,184,1.0452650387135198,0.21609973834077265,0.20674157303370785
Brunel,2025-02-13,2025-04-03,2025-02-13,Junior Financial Controller,,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,50,1274,56,1107,53,3.3600413543551304,0.1608691886005618,0.04787714543812105
Brunel,2025-08-19,2025-09-18,2025-08-19,Financieel controller,Financieel controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,31,1257,68,1059,63,1.7525549032398349,0.10425964013608083,0.059490084985835696
Brunel,2024-12-20,2025-01-19,2024-12-20,Maintenance Engineer,Onderhoudsingenieur,"Marum, Groningen, Nederland",Nederland,Engineering/Manufacturing,31,1247,208,720,207,0.5333862748990802,0.15334855403348555,0.2875
Brunel,2025-05-15,2025-06-14,2025-05-15,Electrical Engineer,Elektrisch ingenieur,"Den Haag, Zuid-Holland, Nederland",Nederland,Engineering,31,1234,164,885,145,0.7614548889938593,0.12475814565436112,0.1638418079096045
Brunel,2025-06-12,2025-09-01,2025-06-12,Bid Manager,Financieel manager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales/Writing/Editing,82,1202,90,979,86,3.395985982797069,0.29831950410679053,0.08784473953013279
Brunel,2025-06-11,2025-06-27,2025-06-11,Procurement Manager,Inkoopmanager,"Amersfoort, Utrecht, Nederland",Nederland,Distribution/Manufacturing/Supply Chain,17,1199,135,892,111,0.5454769838331482,0.06787886233798145,0.12443946188340807
Brunel,2025-03-28,2025-05-19,2025-03-28,NOC engineer,Ingenieur netwerkbeheercentrum,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,53,1197,105,1007,86,2.1949665498566424,0.18745493871665467,0.08540218470705065
Brunel,2025-02-13,2025-03-15,2025-02-13,Embedded Software Engineer,SET software-ingenieur,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering/Information Technology,31,1193,189,883,160,0.690068493150685,0.12504072356071302,0.1812004530011325
Brunel,2025-02-05,2025-02-28,2025-02-05,Recruiter,Recruiter,"Groningen, Nederland",Nederland,Engineering/Human Resources/Sales,24,1191,53,984,53,1.6128198500904627,0.08686936184430337,0.05386178861788618
Brunel,2025-03-28,2025-05-19,2025-03-28,Senior KYC/CDD analist HBO amsterdam,,"Amsterdam-Zuid, Noord-Holland, Nederland",Nederland,Finance/Sales,53,1190,34,1119,28,6.741682974559687,0.16869269283974195,0.025022341376228777
Brunel,2025-06-06,2025-07-06,2025-06-06,Trainee Finance & Control,Financieel controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Consulting/Finance,31,1176,93,984,82,1.3464751085867024,0.11220625904889187,0.08333333333333333
Brunel,2024-10-07,2024-10-14,2024-10-07,Junior Java Engineer,Software-ingenieur,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,8,1167,285,753,255,0.11173784582326081,0.03783950954174171,0.3386454183266932
Brunel,2024-10-14,2024-10-28,2024-10-14,Learning & Development Specialist,Leer- en ontwikkelingsspecialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,15,1149,49,991,45,1.1872146118721463,0.05390984614959291,0.045408678102926335
Brunel,2025-05-19,2025-06-18,2025-05-19,Junior TM Analist,Transactiespecialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst/Finance,31,1140,67,954,65,1.6986301369863015,0.11573475776112116,0.06813417190775681
Brunel,2025-02-04,2025-02-28,2025-02-04,Maintenance Engineer,Onderhoudsingenieur,"Groningen, Nederland",Nederland,Engineering/Manufacturing,25,1109,120,863,114,0.7810622446527277,0.10317624089271259,0.1320973348783314
Brunel,2025-02-13,2025-04-07,2025-02-13,Junior Business Controller,Businesscontroller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,54,1107,52,999,47,4.092101428155057,0.19252128841169935,0.04704704704704705
Brunel,2025-05-15,2025-06-10,2025-05-15,Legal Counsel,Juridisch adviseur,"Utrecht, Utrecht, Nederland",Nederland,Consulting/Legal,27,1105,33,968,31,3.102076889085285,0.09934337144797917,0.03202479338842975
Brunel,2025-02-13,2025-04-07,2025-02-13,Credit Risk Analist (NL),Kredietrisicoanalist,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,54,1104,46,965,43,4.472762026122969,0.19930442188941727,0.04455958549222798
Brunel,2025-06-25,2025-07-25,2025-06-25,Junior TM Analist,Junior analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst/Finance,31,1098,72,934,63,1.7525549032398349,0.11821301809861841,0.06745182012847965
Brunel,2025-03-28,2025-05-19,2025-03-28,Agile Coach,Agile-coach,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,53,1078,30,985,28,6.741682974559687,0.1916417495306307,0.028426395939086295
Brunel,2025-02-04,2025-02-28,2025-02-04,Maintenance Engineer,Onderhoudsingenieur,"Assen, Drenthe, Nederland",Nederland,Engineering/Manufacturing,25,1074,88,904,87,1.0234608723035743,0.09849678748939265,0.09623893805309734
Brunel,2025-09-02,2025-09-08,2025-09-02,Marketing & Sales Support Specialist,Verkoop- en marketingspecialist,"Eindhoven, Noord-Brabant, Nederland",Nederland,Sales,7,1062,141,759,133,0.18745493871665467,0.03284783511108705,0.17523056653491437
Brunel,2025-07-31,2025-08-26,2025-07-31,Legal Counsel,Juridisch adviseur,"Utrecht, Nederland",Nederland,Legal,27,1054,38,959,37,2.5990373935579414,0.10027568671704258,0.03858185610010428
Brunel,2025-03-28,2025-05-19,2025-03-28,Senior KYC/CDD analist WO Amsterdam,,"Amsterdam-Zuid, Noord-Holland, Nederland",Nederland,Finance/Sales,53,1040,42,949,33,5.720215857202159,0.1989116156877463,0.03477344573234984
Brunel,2025-03-06,2025-04-05,2025-03-06,Offshore Process Operator,Procesoperator,"Amsterdam, Noord-Holland, Nederland",Nederland,Management/Manufacturing,31,1023,118,789,101,1.0931778109317782,0.13993784398492978,0.12801013941698353
Brunel,2025-03-11,2025-05-02,2025-03-11,Bid Manager,Financieel manager,"Amsterdam, Noord-Holland, Nederland",Nederland,Sales/Writing/Editing,53,1008,67,794,65,2.904109589041096,0.23774196887616025,0.0818639798488665
Brunel,2025-08-15,2025-09-08,2025-08-15,Project/Programmamanager,Programmamanager,"Amsterdam, Noord-Holland, Nederland",Nederland,Business Development,25,1004,50,861,45,1.97869101978691,0.10341590695750402,0.05226480836236934
Brunel,2025-02-04,2025-02-28,2025-02-04,Maintenance Engineer,Onderhoudsingenieur,"Lutjewinkel, Noord-Holland, Nederland",Nederland,Engineering/Manufacturing,25,1004,39,927,38,2.343186733958183,0.09605296212557816,0.040992448759439054
Brunel,2024-12-03,2025-01-06,2024-12-03,Corporate Recruiter Amsterdam,Corporate recruiter,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,35,992,70,839,62,2.010605391073796,0.14857870589579897,0.07389749702026222
Brunel,2025-06-25,2025-07-25,2025-06-25,Data-analist,Data-analist,Groningen en omgeving,Nederland,Information Technology,31,983,108,773,106,1.0416128198500905,0.14283435822006416,0.1371280724450194
Brunel,2025-06-06,2025-07-06,2025-06-06,Legal Counsel,Juridisch adviseur,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,978,44,853,40,2.76027397260274,0.1294384043424497,0.04689331770222743
Brunel,2025-02-13,2025-03-15,2025-02-13,Data Engineer,Gegevensingenieur,"Den Haag, Zuid-Holland, Nederland",Nederland,Information Technology,31,977,160,754,148,0.746019992595335,0.14643363249881908,0.1962864721485411
Brunel,2025-02-05,2025-03-07,2025-02-05,Accountmanager,Accountmanager,"Groningen, Groningen, Nederland",Nederland,Consulting/Engineering/Sales,31,948,24,807,22,5.0186799501868,0.13681655378452243,0.027261462205700124
Brunel,2025-02-13,2025-03-21,2025-02-13,Scrum Master,Scrummaster,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,37,929,67,772,66,1.9966791199667913,0.17070054652565833,0.08549222797927461
Brunel,2025-07-18,2025-08-17,2025-07-18,Procesinnovator,Processpecialist,"Den Haag, Zuid-Holland, Nederland",Nederland,Distribution/Strategy/Planning/Supply Chain,31,913,21,788,18,6.133942161339422,0.14011543008135735,0.02284263959390863
Brunel,2024-11-20,2024-12-03,2024-11-20,Learning & Development Specialist,Leer- en ontwikkelingsspecialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,14,911,54,801,46,1.0839785586658726,0.0622509534314983,0.05742821473158552
Brunel,2025-07-09,2025-08-08,2025-07-09,Mechanical Enigineer,Werktuigbouwkundige,"Enschede, Overijssel, Nederland",Nederland,Engineering,31,892,50,736,48,2.300228310502283,0.1500148898153663,0.06521739130434782
Brunel,2025-06-02,2025-07-02,2025-06-02,Rotating Engineer,Ingenieur,"Zuid-Holland, Nederland",Nederland,Engineering,31,864,45,701,39,2.8310502283105023,0.15750493424266704,0.05563480741797432
Brunel,2025-04-11,2025-04-28,2025-04-11,Process/Manufacturing Engineer,Fabricage-ingenieur,"Noord-Brabant, Nederland",Nederland,Engineering,18,848,76,700,60,1.0684931506849316,0.09158512720156556,0.08571428571428572
Brunel,2025-02-28,2025-04-07,2025-02-28,Junior AML-Analist,Junior analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Business Development/Sales,39,846,36,757,36,3.858447488584475,0.18349287924576102,0.047556142668428
Brunel,2025-08-29,,2025-08-29,Legal Counsel,Juridisch adviseur,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,23,812,65,654,60,1.365296803652968,0.125256587491098,0.09174311926605505
Brunel,2025-02-13,2025-04-03,2025-02-13,Financieel Risk & Data Traineeship,Dataspecialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,50,809,38,684,31,5.744586831639417,0.2603540815509092,0.04532163742690058
Brunel,2025-06-20,2025-07-20,2025-06-20,Legal Counsel,Juridisch adviseur,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,801,37,721,35,3.1545988258317026,0.15313586533163606,0.04854368932038835
Brunel,2024-09-16,2024-10-16,2024-09-16,Business Analyst,Bedrijfsanalist,"Zuid-Holland, Nederland",Nederland,Consulting/Information Technology/Public Relations,24,799,59,663,48,1.7808219178082192,0.128928283642224,0.07239819004524888
Brunel,2024-12-20,2025-01-19,2024-12-20,Maintenance Engineer,Onderhoudsingenieur,"Workum, Friesland, Nederland",Nederland,Engineering/Manufacturing,31,798,54,690,53,2.083225639700181,0.16001588246972404,0.07681159420289856
Brunel,2025-02-13,2025-03-15,2025-02-13,Structural Engineer,Bouwkundig ingenieur,"Bunnik, Utrecht, Nederland",Nederland,Engineering/Information Technology,31,798,118,578,106,1.0416128198500905,0.19102242024932456,0.18339100346020762
Brunel,2024-12-20,2025-01-19,2024-12-20,Pipeline Engineer,Leidingingenieur,"Groningen, Nederland",Nederland,Project Management,31,791,108,550,106,1.0416128198500905,0.20074719800747198,0.19272727272727272
Brunel,2025-08-21,2025-09-20,2025-08-21,Medior analist KYC Rotterdam,,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst/Finance,31,791,36,690,30,3.680365296803653,0.16001588246972404,0.043478260869565216
Brunel,2025-08-20,2025-08-21,2025-08-20,Senior Insights Manager,Manager statistische gegevens,"Amsterdam, Noord-Holland, Nederland",Nederland,Product Management/Project Management/Research,2,781,72,539,61,0.11677520772512913,0.013215747070932982,0.11317254174397032
Brunel,2025-07-24,2025-08-21,2025-07-24,Medior analist KYC Rotterdam,,"Rotterdam, Zuid-Holland, Nederland",Nederland,Analyst/Finance,29,776,31,674,29,3.5616438356164384,0.15324580301613758,0.04302670623145401
Brunel,2025-06-20,2025-07-20,2025-06-20,Legal Counsel,Juridisch adviseur,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,766,34,668,32,3.4503424657534247,0.16528586662291855,0.04790419161676647
Brunel,2024-10-14,2024-11-13,2024-10-14,Structural Engineer,Bouwkundig ingenieur,"Den Haag, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,763,112,568,93,1.187214611872146,0.19438549102836195,0.1637323943661972
Brunel,2025-08-15,2025-09-12,2025-08-15,Business Analist,Bedrijfsanalist,"Amsterdam, Noord-Holland, Nederland",Nederland,Analyst/Business Development/Information Technology,29,762,34,691,31,3.331860362350862,0.14947564577840336,0.04486251808972504
Brunel,2024-10-14,2024-10-28,2024-10-14,Junior HR Business Partner,Junior partner,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,15,760,37,662,34,1.5713134568896052,0.08070189959855978,0.0513595166163142
Brunel,2025-04-11,2025-05-11,2025-04-11,Project Engineer,Projectingenieur,"Almere, Flevoland, Nederland",Nederland,Business Development/Engineering/Project Management,31,759,63,644,52,2.1232876712328768,0.17144558836041862,0.08074534161490683
Brunel,2025-05-20,2025-06-19,2025-05-20,Maintenance Engineer,Onderhoudsingenieur,"Hengelo, Overijssel, Nederland",Nederland,Engineering,31,753,66,598,54,2.0446473871131405,0.1846337105419893,0.0903010033444816
Brunel,2025-03-28,2025-05-19,2025-03-28,Maintenance Engineer,Onderhoudsingenieur,"Leeuwarden, Friesland, Nederland",Nederland,Management/Manufacturing,53,745,70,621,57,3.3117039173275655,0.3039728233295833,0.09178743961352658
Brunel,2024-12-20,2025-01-19,2024-12-20,Maintenance Engineer,Onderhoudsingenieur,"Beilen, Drenthe, Nederland",Nederland,Engineering/Manufacturing,31,745,76,565,76,1.4527757750540735,0.19541762637895502,0.13451327433628318
Brunel,2025-08-14,2025-09-13,2025-08-14,Legal Counsel,Juridisch adviseur,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,734,28,646,28,3.9432485322896285,0.17091479706518511,0.043343653250773995
Brunel,2025-06-06,2025-07-06,2025-06-06,Teammanager Engineering,Manager techniek,"Utrecht, Utrecht, Nederland",Nederland,Engineering/Management,31,731,27,635,22,5.0186799501868,0.17387552583324345,0.03464566929133858
Brunel,2025-02-13,2025-04-07,2025-02-13,Electrical Engineer,Elektrisch ingenieur,"Eindhoven, Noord-Brabant, Nederland",Nederland,Engineering/Information Technology,54,719,71,564,60,3.2054794520547945,0.3410084523462547,0.10638297872340426
Brunel,2024-11-05,2024-12-05,2024-11-05,Recruitment Consultant,Recruitmentconsultant,"Delft, Zuid-Holland, Nederland",Nederland,Consulting/Human Resources/Sales,31,718,75,566,70,1.5772994129158513,0.19507236555496393,0.12367491166077739
Brunel,2025-08-15,2025-09-14,2025-08-15,Firmware Engineer,Firmware-ingenieur,"Enschede, Overijssel, Nederland",Nederland,Engineering,31,717,47,605,40,2.76027397260274,0.18249745273406545,0.06611570247933884
Brunel,2024-10-07,2024-10-14,2024-10-07,Learning & Development Specialist,,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,8,717,29,589,27,1.0553018772196854,0.04837546805591088,0.04584040747028863
Brunel,2024-11-20,2024-12-03,2024-11-20,Junior HR Business Partner,HR-businesspartner,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,14,711,32,602,30,1.6621004566210047,0.08282892640968462,0.04983388704318937
Brunel,2025-08-14,2025-09-13,2025-08-14,Legal Counsel,Juridisch adviseur,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,710,30,626,29,3.807274444969296,0.17637533371263514,0.0463258785942492
Brunel,2025-02-04,2025-02-28,2025-02-04,Maintenance Engineer,Onderhoudsingenieur,"Leeuwarden, Friesland, Nederland",Nederland,Engineering/Manufacturing,25,692,59,582,56,1.5900195694716242,0.15299157369486419,0.09621993127147767
Brunel,2025-03-21,2025-04-07,2025-03-21,Project Manager,Projectmanager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Information Technology/Project Management,18,689,96,544,81,0.791476407914764,0.11784850926672039,0.1488970588235294
Brunel,2025-06-25,2025-07-25,2025-06-25,Business Analist,Bedrijfsanalist,"Den Haag, Zuid-Holland, Nederland",Nederland,Analyst/Business Development/Information Technology,31,688,25,622,24,4.600456621004566,0.17750958023168745,0.03858520900321544
Brunel,2025-03-28,2025-04-16,2025-03-28,Junior Financial Controller,,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,20,680,33,579,29,2.456306093528578,0.12302742091939337,0.05008635578583765
Brunel,2025-02-13,2025-03-29,2025-02-13,Senior Business Controller,,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,45,680,15,602,14,11.448140900195694,0.26623583488827196,0.023255813953488372
Brunel,2025-06-18,2025-06-27,2025-06-18,Electrical Engineer,Elektrisch ingenieur,"Hengelo, Overijssel, Nederland",Nederland,Design/Engineering,10,661,107,409,104,0.3424657534246575,0.08708175637204005,0.254278728606357
Brunel,2025-02-04,2025-02-28,2025-02-04,Maintenance Engineer,Onderhoudsingenieur,"Workum, Friesland, Nederland",Nederland,Engineering/Manufacturing,25,660,41,587,39,2.2831050228310503,0.15168840867190964,0.06643952299829642
Brunel,2025-03-28,2025-05-19,2025-03-28,Transactie Monitoring Analist,Transactie-analist,"Utrecht, Utrecht, Nederland",Nederland,Finance/Sales,53,659,43,554,34,5.5519742143432715,0.34073487958063403,0.061371841155234655
Brunel,2025-02-13,2025-03-15,2025-02-13,Electrical Engineer,Elektrisch ingenieur,"Den Haag, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,652,97,496,86,1.2838483593501115,0.2226027397260274,0.17338709677419356
Brunel,2024-12-07,2024-12-17,2024-11-20,Learning & Development Specialist,Leer- en ontwikkelingsspecialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Human Resources,11,652,25,559,24,1.632420091324201,0.07008601465434852,0.04293381037567084
Brunel,2025-02-13,2025-04-07,2025-02-13,Finance Talenten Programma,Financiën,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,54,651,34,558,28,6.868884540117416,0.344675209898365,0.05017921146953405
Brunel,2024-12-10,2025-01-06,2024-12-10,Product Owner,Producteigenaar,"Amsterdam, Noord-Holland, Nederland",Nederland,Marketing/Product Management,28,643,28,564,25,3.9890410958904114,0.17681919751287284,0.044326241134751775
Brunel,2025-02-13,2025-04-07,2025-02-13,Traineeship Maintenance Engineer,Onderhoudsingenieur,"Utrecht, Utrecht, Nederland",Nederland,Management/Manufacturing,54,639,60,513,52,3.698630136986301,0.3749098774333093,0.10136452241715399
Brunel,2025-06-17,2025-07-08,2025-06-17,Servicemanager IT,Servicemanager,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology/Management/Other,22,635,31,518,29,2.701936702881436,0.15126672660919238,0.055984555984555984
Brunel,2025-08-14,2025-09-13,2025-08-14,Legal Counsel,Juridisch adviseur,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,633,12,551,12,9.200913242009133,0.2003828655246998,0.021778584392014518
Brunel,2025-02-13,2025-03-21,2025-02-13,Financieel Data Analist,Data-analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,37,631,64,557,56,2.353228962818004,0.23659034455620867,0.10053859964093358
