title,title_norm,standardized_job_title,job_title,hiring_company,period_start_date,period_end_date,unique_application_clicks,unique_visitors,duration_days
Corporate Recruiter Amsterdam,corporate recruiter amsterdam,Corporate recruiter,Corporate Recruiter Amsterdam,Brunel,2024-12-03,2025-01-06,62,839,34.0
Data-analist,data-analist,Data-analist,Data-analist,Brunel,2025-06-25,2025-07-25,106,773,30.0
Data Engineer,data engineer,Gegevensingenieur,Data Engineer,Brunel,2025-02-13,2025-03-15,148,754,30.0
Vision & Measurement Designer,vision & measurement designer,Ontwerper,Vision & Measurement Designer,Brunel,2025-10-23,2025-11-21,31,832,29.0
Senior Project Engineer Offshore Energie,senior project engineer offshore energie,Senior projectingenieur,Senior Project Engineer Offshore Energie,Brunel,2025-10-09,2025-11-08,55,744,30.0
Scrum Master,scrum master,Scrummaster,Scrum Master,Brunel,2025-02-13,2025-03-21,66,772,36.0
Medior analist KYC Rotterdam,medior analist kyc rotterdam,Analist tegen Geldwitwassen,Medior analist KYC Rotterdam,Brunel,2025-09-22,2025-10-22,23,824,30.0
Procesinnovator,procesinnovator,Processpecialist,Procesinnovator,Brunel,2025-07-18,2025-08-17,18,788,30.0
Mechanical Enigineer,mechanical enigineer,Werktuigbouwkundige,Mechanical Enigineer,Brunel,2025-07-09,2025-08-08,48,740,30.0
Financieel Administratief Medewerker,financieel administratief medewerker,Administratief medewerker,Financieel Administratief Medewerker,Brunel,2025-08-25,2025-11-17,31,759,84.0
Rotating Engineer,rotating engineer,Ingenieur,Rotating Engineer,Brunel,2025-06-02,2025-07-02,39,701,30.0
Process/Manufacturing Engineer,process/manufacturing engineer,Fabricage-ingenieur,Process/Manufacturing Engineer,Brunel,2025-04-11,2025-04-28,60,700,17.0
Junior AML-Analist,junior aml-analist,Junior analist,Junior AML-Analist,Brunel,2025-02-28,2025-04-07,36,757,38.0
Financieel Risk & Data Traineeship,financieel risk & data traineeship,Dataspecialist,Financieel Risk & Data Traineeship,Brunel,2025-02-13,2025-04-03,31,685,49.0
Junior Project Controller - wo - Den Haag,junior project controller - wo - den haag,Junior controller,Junior Project Controller - wo - Den Haag,Brunel,2025-10-01,2025-10-31,19,732,30.0
Structural Engineer,structural engineer,Bouwkundig ingenieur,Structural Engineer,Brunel,2025-02-13,2025-03-15,106,578,30.0
Carrière in de energietransitie,carrière in de energietransitie,Energiespecialist,Carrière in de energietransitie,Brunel,2025-10-28,,48,645,
Pipeline Engineer,pipeline engineer,Leidingingenieur,Pipeline Engineer,Brunel,2024-12-20,2025-01-19,106,550,30.0
Senior Insights Manager,senior insights manager,Manager statistische gegevens,Senior Insights Manager,Brunel,2025-08-20,2025-08-21,61,539,1.0
Project Engineer HVAC,project engineer hvac,Projectingenieur,Project Engineer HVAC,Brunel,2025-09-02,2025-10-02,55,594,30.0
Project Engineer,project engineer,Projectingenieur,Project Engineer,Brunel,2025-04-11,2025-05-11,52,644,30.0
Teammanager Engineering,teammanager engineering,Manager techniek,Teammanager Engineering,Brunel,2025-06-06,2025-07-06,22,634,30.0
Firmware Engineer,firmware engineer,Firmware-ingenieur,Firmware Engineer,Brunel,2025-08-15,2025-09-14,40,608,30.0
Senior EHS Specialist,senior ehs specialist,EHS-specialist,Senior EHS Specialist,Brunel,2025-09-22,2025-10-22,21,647,30.0
Instrumentation & Control Engineer,instrumentation & control engineer,Ingenieur instrumentatiecontrolesystemen,Instrumentation & Control Engineer,Brunel,2025-11-19,,93,481,
Junior Power Platform Developer,junior power platform developer,Junior ontwikkelaar,Junior Power Platform Developer,Brunel,2025-10-28,,52,585,
Senior Business Controller,senior business controller,Senior Bedrijfscontroller,Senior Business Controller,Brunel,2025-02-13,2025-03-29,14,602,44.0
Senior Project Manager,senior project manager,Senior projectmanager,Senior Project Manager,Brunel,2025-10-08,2025-10-13,69,502,5.0
Transactie Monitoring Analist,transactie monitoring analist,Transactie-analist,Transactie Monitoring Analist,Brunel,2025-03-28,2025-05-19,34,553,52.0
Learning & Development Specialist,learning & development specialist,Leer- en ontwikkelingsspecialist,Learning & Development Specialist,Brunel,2024-12-07,2024-12-17,24,559,10.0
Finance Talenten Programma,finance talenten programma,Financiën,Finance Talenten Programma,Brunel,2025-02-13,2025-04-07,28,558,53.0
Product Owner,product owner,Producteigenaar,Product Owner,Brunel,2024-12-10,2025-01-06,25,564,27.0
Traineeship Maintenance Engineer,traineeship maintenance engineer,Onderhoudsingenieur,Traineeship Maintenance Engineer,Brunel,2025-02-13,2025-04-07,52,513,53.0
Servicemanager IT,servicemanager it,Servicemanager,Servicemanager IT,Brunel,2025-06-17,2025-07-08,29,518,21.0
Financieel Data Analist,financieel data analist,Data-analist,Financieel Data Analist,Brunel,2025-02-13,2025-03-21,56,557,36.0
Reliability Engineer,reliability engineer,Ingenieur betrouwbaarheid,Reliability Engineer,Brunel,2025-03-28,2025-05-19,29,559,52.0
Teammanager Engineering,teammanager engineering,Specialist techniek,Teammanager Engineering,Brunel,2025-06-06,2025-07-06,23,528,30.0
Automation Engineer,automation engineer,Ingenieur automatisering,Automation Engineer,Brunel,2025-08-25,2025-09-24,37,507,30.0
Layout Engineer,layout engineer,Ingenieur lay-out,Layout Engineer,Brunel,2025-07-23,2025-08-22,37,521,30.0
HSE Manager,hse manager,HSE-manager,HSE Manager,Brunel,2025-08-04,2025-09-03,43,497,30.0
Legal Counsel Energy,legal counsel energy,Juridisch adviseur,Legal Counsel Energy,Brunel,2025-10-31,,23,540,
Information Security Officer ( ISO),information security officer ( iso),Medewerker informatiebeveiliging,Information Security Officer ( ISO),Brunel,2025-10-31,,25,492,
Medior CDD Analist,medior cdd analist,Analist tegen Geldwitwassen,Medior CDD Analist,Brunel,2025-08-18,2025-09-17,10,532,30.0
IT-recruiter,it-recruiter,IT-recruiter,IT-recruiter,Brunel,2025-09-26,2025-10-24,18,523,28.0
Privacy Officer,privacy officer,Bedrijfsjurist,Privacy Officer,Brunel,2025-11-05,,24,483,
Senior Communicatieadviseur,senior communicatieadviseur,Communicatieadviseur,Senior Communicatieadviseur,Brunel,2025-09-01,2025-09-15,17,483,14.0
DevOps Engineer,devops engineer,DevOps Engineer,DevOps Engineer,Brunel,2025-02-13,2025-03-15,63,479,30.0
Power Platform Developer,power platform developer,Ontwikkelaar,Power Platform Developer,Brunel,2025-09-30,2025-10-30,39,464,30.0
Junior IT Support Engineer,junior it support engineer,Ondersteuningstechnicus ICT,Junior IT Support Engineer,Brunel,2025-05-23,2025-06-22,44,486,30.0
Information Security Officer,information security officer,Medewerker informatiebeveiliging,Information Security Officer,Brunel,2025-05-21,2025-06-20,18,434,30.0
Project & Supply Lead,project & supply lead,Bevoorradingsspecialist,Project & Supply Lead,Brunel,2025-10-03,2025-10-06,56,435,3.0
Senior Energieconsultant,senior energieconsultant,Senior Energieconsultant,Senior Energieconsultant,Brunel,2025-08-22,2025-09-21,17,470,30.0
Senior Project Manager Offshore Wind,senior project manager offshore wind,Senior projectmanager,Senior Project Manager Offshore Wind,Brunel,2024-12-03,2025-01-29,12,491,57.0
Projectcoördinator,projectcoördinator,Coördinator bedrijfsvoering,Projectcoördinator,Brunel,2025-02-19,2025-02-28,54,433,9.0
Projectmanager,projectmanager,Projectmanager,Projectmanager,Brunel,2025-06-06,2025-07-06,18,481,30.0
Junior Privacy Jurist,junior privacy jurist,Privacy Advocaat,Junior Privacy Jurist,Brunel,2025-02-13,2025-03-29,25,453,44.0
Oracle Database Administrator,oracle database administrator,Oracle DBA,Oracle Database Administrator,Brunel,2025-03-28,2025-04-19,58,436,22.0
Cloud Architect,cloud architect,Cloud-architect,Cloud Architect,Brunel,2025-06-25,2025-07-25,28,460,30.0
Medior KYC/CDD analist,medior kyc/cdd analist,Analist tegen Geldwitwassen,Medior KYC/CDD analist,Brunel,2025-03-28,2025-04-27,21,448,30.0
IT Supportmedewerker,it supportmedewerker,ICT-specialist,IT Supportmedewerker,Brunel,2025-08-08,2025-09-07,24,438,30.0
Project Manager Ondersteuner,project manager ondersteuner,Projectmanager,Project Manager Ondersteuner,Brunel,2025-06-13,2025-06-25,11,417,12.0
M365 consultant,m365 consultant,Consultant,M365 consultant,Brunel,2025-08-25,2025-09-24,25,421,30.0
Junior ICT Support Medewerker,junior ict support medewerker,ICT-medewerker,Junior ICT Support Medewerker,Brunel,2025-03-28,2025-05-19,24,441,52.0
Multi Client Pool ICT Servicedeskmedewerker,multi client pool ict servicedeskmedewerker,Klantspecialist,Multi Client Pool ICT Servicedeskmedewerker,Brunel,2025-03-28,2025-05-19,16,440,52.0
SharePoint specialist,sharepoint specialist,Sharepoint-specialist,SharePoint specialist,Brunel,2025-08-25,2025-09-24,25,406,30.0
Junior Project Engineer Duurzame Energie,junior project engineer duurzame energie,Junior Projectingenieur,Junior Project Engineer Duurzame Energie,Brunel,2025-01-06,2025-02-05,25,407,30.0
IT Support Engineer,it support engineer,Ondersteuningstechnicus ICT,IT Support Engineer,Brunel,2024-12-10,2025-01-06,42,404,27.0
Maintenance Manager,maintenance manager,Onderhoudsmanager,Maintenance Manager,Brunel,2025-05-21,2025-06-20,51,385,30.0
Junior PLC Engineer - Maritiem / Industrie,junior plc engineer - maritiem / industrie,Junior ingenieur,Junior PLC Engineer - Maritiem / Industrie,Brunel,2025-06-19,2025-07-16,37,382,27.0
Cyber Security Consultant,cyber security consultant,Cybersecurityconsultant,Cyber Security Consultant,Brunel,2025-03-28,2025-04-21,37,423,24.0
Technisch Tekenaar,technisch tekenaar,Technisch tekenaar,Technisch Tekenaar,Brunel,2025-09-24,2025-10-24,29,389,30.0
Junior HR Business Partner,junior hr business partner,HR-businesspartner,Junior HR Business Partner,Brunel,2024-11-20,2024-12-03,19,395,13.0
Junior IT Servicedeskmedewerker,junior it servicedeskmedewerker,ICT-specialist,Junior IT Servicedeskmedewerker,Brunel,2025-07-14,2025-08-08,38,368,25.0
Asset Projectmanager,asset projectmanager,Projectmanager,Asset Projectmanager,Brunel,2025-10-21,2025-11-18,7,416,28.0
Software Engineer Service (PLC),software engineer service (plc),Software-ingenieur,Software Engineer Service (PLC),Brunel,2025-08-15,2025-09-14,11,390,30.0
Business Consultant,business consultant,Bedrijfsadviseur,Business Consultant,Brunel,2025-09-16,2025-09-22,32,381,6.0
IT Werkplekbeheerder,it werkplekbeheerder,Werkplekmanager,IT Werkplekbeheerder,Brunel,2025-03-28,2025-05-19,11,418,52.0
Projectleider,projectleider,Projectleider,Projectleider,Brunel,2025-09-12,2025-10-10,17,372,28.0
DevOps engineer Dynatrace,devops engineer dynatrace,DevOps Engineer,DevOps engineer Dynatrace,Brunel,2025-06-13,2025-07-13,44,384,30.0
IT Support Medewerker - Apeldoorn,it support medewerker - apeldoorn,ICT-medewerker,IT Support Medewerker - Apeldoorn,Brunel,2025-02-13,2025-04-07,30,353,53.0
Enterprise Architect,enterprise architect,Enterprise-architect,Enterprise Architect,Brunel,2025-03-28,2025-04-20,14,355,23.0
Junior Adviseur Subsidies,junior adviseur subsidies,Toelagenconsulent,Junior Adviseur Subsidies,Brunel,2025-03-28,2025-04-27,13,389,30.0
IT - Servicedesk Specialist,it - servicedesk specialist,ICT-specialist,IT - Servicedesk Specialist,Brunel,2025-03-28,2025-04-29,22,365,32.0
Financial Controller,financial controller,Financieel controller,Financial Controller,Brunel,2025-02-13,2025-03-29,12,398,44.0
Planner (Amersfoort / Borculo),planner (amersfoort / borculo),Productieplanner,Planner (Amersfoort / Borculo),Brunel,2025-05-15,2025-06-02,15,352,18.0
Medior CDD Analist,medior cdd analist,Analist,Medior CDD Analist,Brunel,2025-10-20,2025-11-19,10,386,30.0
Senior Support Engineer,senior support engineer,Senior ondersteuningsingenieur,Senior Support Engineer,Brunel,2025-09-09,2025-10-09,14,363,30.0
Software Engineering Manager,software engineering manager,Manager softwaretechniek,Software Engineering Manager,Brunel,2025-04-04,2025-04-24,20,347,20.0
People & Change Lead,people & change lead,Hoofd verandering,People & Change Lead,Brunel,2025-10-28,2025-10-30,6,367,2.0
Functioneel Beheerder,functioneel beheerder,Functioneel manager,Functioneel Beheerder,Brunel,2025-10-22,2025-11-21,7,358,30.0
Medior Adviseur Subsidies,medior adviseur subsidies,Subsidiemedewerker,Medior Adviseur Subsidies,Brunel,2025-07-14,2025-08-13,9,365,30.0
Bedrijfsanalist,bedrijfsanalist,Bedrijfsanalist,Bedrijfsanalist,Brunel,2025-06-24,2025-07-24,26,342,30.0
FP&A Controller,fp&a controller,Controller,FP&A Controller,Brunel,2024-12-18,2025-01-17,10,345,30.0
Bedrijfsjurist,bedrijfsjurist,Bedrijfsjurist,Bedrijfsjurist,Brunel,2025-08-28,2025-09-27,9,356,30.0
Junior IT Support,junior it support,ICT-ondersteuningsspecialist,Junior IT Support,Brunel,2025-01-15,2025-02-14,36,344,30.0
Account Manager,account manager,Accountmanager,Account Manager,Brunel,2025-10-27,,13,342,
Traineeship Reliability Engineering,traineeship reliability engineering,Specialist techniek,Traineeship Reliability Engineering,Brunel,2025-02-13,2025-04-07,15,327,53.0
Project coordinator,project coordinator,Projectcoördinator,Project coordinator,Brunel,2025-03-21,2025-04-07,22,341,17.0
Junior Subsidiebeoordelaar,junior subsidiebeoordelaar,Specialist Publiek Beleid,Junior Subsidiebeoordelaar,Brunel,2025-03-28,2025-05-19,12,336,52.0
Tendermanager,tendermanager,Tendermanager,Tendermanager,Brunel,2025-05-21,2025-06-20,15,326,30.0
Manager Juridische Zaken,manager juridische zaken,Manager juridische zaken,Manager Juridische Zaken,Brunel,2025-03-28,2025-04-20,4,355,23.0
Senior Machine Learning Engineer,senior machine learning engineer,Senior Machine Learning Engineer,Senior Machine Learning Engineer,Brunel,2025-02-13,2025-03-15,51,323,30.0
Servicedeskmedewerker,servicedeskmedewerker,Servicedesk-specialist,Servicedeskmedewerker,Brunel,2025-10-14,2025-11-13,12,340,30.0
Junior Project Coördinator Installatietechniek,junior project coördinator installatietechniek,Projectcoördinator,Junior Project Coördinator Installatietechniek,Brunel,2024-12-03,2025-01-29,18,311,57.0
Solution Architect,solution architect,Oplossingenarchitect,Solution Architect,Brunel,2025-03-28,2025-04-22,16,342,25.0
Financial Risk Manager (NL),financial risk manager (nl),Manager financiële risico's,Financial Risk Manager (NL),Brunel,2025-02-13,2025-03-29,7,332,44.0
Projectcontroller,projectcontroller,Financieel controller,Projectcontroller,Brunel,2025-02-12,2025-02-28,20,296,16.0
Projectondersteuner,projectondersteuner,Projectmanager,Projectondersteuner,Brunel,2024-12-03,2025-01-29,9,338,57.0
OT Engineer,ot engineer,Operationeel ingenieur,OT Engineer,Brunel,2025-05-21,2025-06-20,14,323,30.0
Junior Subsidiebehandelaar,junior subsidiebehandelaar,Financiën,Junior Subsidiebehandelaar,Brunel,2025-03-28,2025-05-19,17,329,52.0
Projectleider IT,projectleider it,Projectleider,Projectleider IT,Brunel,2025-09-15,2025-10-15,4,330,30.0
ICT Support medewerker,ict support medewerker,ICT-medewerker,ICT Support medewerker,Brunel,2025-10-10,2025-11-09,7,322,30.0
Medior IT-Servicedesk Specialist,medior it-servicedesk specialist,ICT-specialist,Medior IT-Servicedesk Specialist,Brunel,2025-01-04,2025-02-03,24,294,30.0
ICT-systeembeheerder,ict-systeembeheerder,ICT-systeembeheerder,ICT-systeembeheerder,Brunel,2025-06-24,2025-07-24,34,278,30.0
Medior KYC/CDD Analist Organisaties,medior kyc/cdd analist organisaties,Analist tegen Geldwitwassen,Medior KYC/CDD Analist Organisaties,Brunel,2025-03-28,2025-04-18,6,325,21.0
ICT-supportmedewerker,ict-supportmedewerker,Beheerder ICT-support,ICT-supportmedewerker,Brunel,2025-06-24,2025-07-24,21,286,30.0
Management Assistent,management assistent,Managementassistent,Management Assistent,Brunel,2025-11-13,2025-11-19,4,290,6.0
Maintenance Engineer Elektrotechniek,maintenance engineer elektrotechniek,Onderhoudsingenieur,Maintenance Engineer Elektrotechniek,Brunel,2025-02-04,2025-02-28,35,246,24.0
Senior KYC/CDD Analist,senior kyc/cdd analist,Analist tegen Geldwitwassen,Senior KYC/CDD Analist,Brunel,2025-03-28,2025-04-25,18,295,28.0
Coördinator E&I,coördinator e&i,Projectmanager engineering,Coördinator E&I,Brunel,2024-12-20,2025-01-19,17,287,30.0
Order Fulfilment Officer,order fulfilment officer,Supplychainmedewerker,Order Fulfilment Officer,Brunel,2025-05-21,2025-05-26,13,273,5.0
Junior Jurist Bestuursrecht,junior jurist bestuursrecht,Junior advocaat,Junior Jurist Bestuursrecht,Brunel,2025-09-17,2025-10-17,13,301,30.0
Senior Privacy Jurist,senior privacy jurist,Juridisch,Senior Privacy Jurist,Brunel,2025-10-02,2025-11-01,12,298,30.0
Projectleider,projectleider,Projectmanager,Projectleider,Brunel,2025-06-06,2025-07-06,7,291,30.0
Traineeship Technische Bedrijfskunde,traineeship technische bedrijfskunde,Bedrijfsbeheerder,Traineeship Technische Bedrijfskunde,Brunel,2025-03-28,2025-05-19,11,299,52.0
Change en Releasemanager,change en releasemanager,Verander- en releasemanager,Change en Releasemanager,Brunel,2025-08-26,2025-09-15,7,276,20.0
IT Support Medewerker,it support medewerker,ICT-medewerker,IT Support Medewerker,Brunel,2025-07-14,2025-08-08,23,266,25.0
Werkplekbeheerder,werkplekbeheerder,Werkplekmanager,Werkplekbeheerder,Brunel,2025-03-28,2025-05-19,7,300,52.0
Maintenance Engineer Mechanical,maintenance engineer mechanical,Onderhoudsingenieur,Maintenance Engineer Mechanical,Brunel,2025-03-06,2025-04-03,32,250,28.0
ICT Servicedesk,ict servicedesk,ICT-servicedesk,ICT Servicedesk,Brunel,2024-12-24,2025-01-23,26,271,30.0
Junior Jurist Bestuursrecht,junior jurist bestuursrecht,Juridisch,Junior Jurist Bestuursrecht,Brunel,2025-08-14,2025-09-13,16,267,30.0
Medior Project Engineer,medior project engineer,Projectingenieur,Medior Project Engineer,Brunel,2025-01-15,2025-02-04,13,278,20.0
Servicedesk Specialist IT,servicedesk specialist it,Servicedesk-specialist,Servicedesk Specialist IT,Brunel,2025-01-28,2025-02-06,19,273,9.0
Medior/Senior CDD Analist,medior/senior cdd analist,Financieel analist,Medior/Senior CDD Analist,Brunel,2025-05-16,2025-06-15,6,262,30.0
Netwerkbeheer,netwerkbeheer,Netwerkingenieur,Netwerkbeheer,Brunel,2025-09-02,2025-10-02,16,258,30.0
Onderhoudscoördinator,onderhoudscoördinator,Onderhoudscoördinator,Onderhoudscoördinator,Brunel,2025-01-21,2025-02-17,6,273,27.0
Senior Jurist Beroep,senior jurist beroep,Senior Advocaat,Senior Jurist Beroep,Brunel,2025-10-01,2025-10-31,2,287,30.0
Procesmanager Amersfoort,procesmanager amersfoort,Procesmanager,Procesmanager Amersfoort,Brunel,2025-01-06,2025-02-05,6,263,30.0
Medior KYC/CDD analist Tilburg,medior kyc/cdd analist tilburg,Analist tegen Geldwitwassen,Medior KYC/CDD analist Tilburg,Brunel,2025-01-28,2025-02-06,10,267,9.0
Support Engineer IT,support engineer it,ICT-ingenieur,Support Engineer IT,Brunel,2025-01-15,2025-02-14,26,249,30.0
Senior Privacy Jurist,senior privacy jurist,Juridisch specialist,Senior Privacy Jurist,Brunel,2025-08-05,2025-09-04,6,269,30.0
Financieel Coach Utrecht,financieel coach utrecht,Financieel coach,Financieel Coach Utrecht,Brunel,2025-09-25,2025-10-25,8,264,30.0
Schadebehandelaar,schadebehandelaar,Schadebehandelaar,Schadebehandelaar,Brunel,2025-10-23,2025-11-22,1,275,30.0
Systeembeheerder,systeembeheerder,Systeembeheerder,Systeembeheerder,Brunel,2025-09-02,2025-10-02,10,256,30.0
Adviseur Subsidies,adviseur subsidies,Toelagenconsulent,Adviseur Subsidies,Brunel,2025-08-20,2025-09-12,9,241,23.0
Compliance Adviseur,compliance adviseur,Compliance-adviseur,Compliance Adviseur,Brunel,2025-02-28,2025-04-07,5,265,38.0
Informatie Adviseur,informatie adviseur,Informatie-adviseur,Informatie Adviseur,Brunel,2025-09-30,2025-10-30,7,264,30.0
Bedrijfsleider,bedrijfsleider,Bedrijfsleider,Bedrijfsleider,Brunel,2025-11-04,2025-11-10,7,246,6.0
Jurist Rechtsbijstand (senior),jurist rechtsbijstand (senior),Senior Advocaat,Jurist Rechtsbijstand (senior),Brunel,2025-10-07,2025-11-06,4,261,30.0
Senior Financial Accountant,senior financial accountant,Senior financieel boekhouder,Senior Financial Accountant,Brunel,2024-12-17,2025-01-16,21,236,30.0
ICT Support,ict support,ICT-ondersteuning,ICT Support,Brunel,2024-12-24,2025-02-07,17,252,45.0
Junior Hypotheekacceptant,junior hypotheekacceptant,Hypotheekverzekeraar,Junior Hypotheekacceptant,Brunel,2025-09-03,2025-10-03,8,249,30.0
Quality Specialist,quality specialist,Kwaliteitsspecialist,Quality Specialist,Brunel,2025-11-20,2025-11-24,25,216,4.0
Senior Jurist Omgevingsrecht,senior jurist omgevingsrecht,Juridisch specialist,Senior Jurist Omgevingsrecht,Brunel,2025-09-01,2025-10-01,2,239,30.0
Senior Privacy Jurist,senior privacy jurist,Privacy Advocaat,Senior Privacy Jurist,Brunel,2025-09-04,2025-10-04,4,243,30.0
Maintenance Trainee,maintenance trainee,Onderhoudstechnicus,Maintenance Trainee,Brunel,2024-11-13,2024-12-13,27,189,30.0
Junior Processpecialist,junior processpecialist,Processpecialist,Junior Processpecialist,Brunel,2024-12-10,2025-01-09,12,224,30.0
Senior Jurist Bezwaar Rijksoverheid,senior jurist bezwaar rijksoverheid,Advocaat,Senior Jurist Bezwaar Rijksoverheid,Brunel,2025-09-16,2025-10-16,1,242,30.0
